y_1985;y_1960
4371;2485
3671;959
2190;889
608;533
1704;1386
1329;944
975;1194
823;455
710;737
2348;1030
1186;1055
1450;1392
7064;4768
710;383
3661;1623
1217;1410
2107;1187
1221;846
1031;517
13372;3085
1339;978
10450;4802
13893;3493
4312;2183
4775;1285
5788;2154
2175;1077
2430;1668
14678;2793
2482;1794
6042;2382
3220;1308
13327;5939
14290;6789
16491;8551
13779;6527
15027;7215
15297;7695
6868;2257
8675;4411
11082;4913
13177;7689
19723;7938
5827;2272
9903;3766
15237;7802
15881;10308
4444;2274
13331;7634
17935;10286
4492;3360
3308;1939
1997;2042
3034;2481
1237;1096
1822;1430
3080;2726
7380;4229
3978;3195
5021;2423
11285;9253
18988;12362
5533;4852
2055;1618
5563;1842
5533;5189
4405;2672
4504;2198
3914;1951
3775;3310
5495;5119
6336;10367
13409;8440
2159;879
12308;9523
